Alloy Symbol,deltaE *CO,Filling,Center,Width,Skewness,Kurtosis,Work function,Atomic radius,Spatial extent,Ionization potential,Electron affinity,Pauling electronegativity,Local Pauling electronegativity,Vad2 
Ni@Cu ,-0.69,0.97,-2.21,1.11,1.08,8.87,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu@Cu ,-0.63,0.97,-2.25,1.05,1.13,10.94,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Pd@Cu ,-0.86,0.98,-1.66,0.97,0.47,8.6,5.3,1.41,0.67,7.73,1.24,1.9,2.03,1
Ag@Cu ,-0.74,0.98,-1.9,0.88,0.06,15.15,5.3,1.41,0.67,7.73,1.24,1.9,1.91,1
Ir@Cu ,-0.91,0.97,-2.1,1.13,0.26,8.42,5.3,1.41,0.67,7.73,1.24,1.9,2.03,1
Pt@Cu ,-0.91,0.97,-1.85,1.09,0.03,8.18,5.3,1.41,0.67,7.73,1.24,1.9,2.06,1
Au@Cu ,-0.86,0.98,-1.98,1.02,-0.42,10.94,5.3,1.41,0.67,7.73,1.24,1.9,2.16,1
Pd@Ag ,-0.14,0.98,-3.64,1.22,1.97,11.27,5.01,1.59,0.89,7.58,1.3,1.93,2.05,2.26
Ag@Ag ,-0.09,0.98,-3.92,1.1,2.38,16.87,5.01,1.59,0.89,7.58,1.3,1.93,1.93,2.26
Ir@Ag ,-0.25,0.98,-3.81,1.36,1.65,9.62,5.01,1.59,0.89,7.58,1.3,1.93,2.05,2.26
Pt@Ag ,-0.24,0.98,-3.69,1.28,1.75,10.39,5.01,1.59,0.89,7.58,1.3,1.93,2.08,2.26
Au@Ag ,-0.15,0.98,-3.87,1.16,1.93,13.38,5.01,1.59,0.89,7.58,1.3,1.93,2.18,2.26
Cu@Au ,-0.66,0.96,-3.88,1.9,0.85,5.14,6.01,1.59,1.01,9.23,2.31,2.54,2.23,3.35
Pd@Au ,-0.27,0.97,-3.07,1.52,1.02,5.86,6.01,1.59,1.01,9.23,2.31,2.54,2.38,3.35
Ag@Au ,-0.15,0.97,-3.21,1.34,1.22,8.47,6.01,1.59,1.01,9.23,2.31,2.54,2.25,3.35
Ir@Au ,-0.37,0.96,-3.41,1.72,0.89,5.32,6.01,1.59,1.01,9.23,2.31,2.54,2.38,3.35
Pt@Au ,-0.4,0.97,-3.17,1.59,0.91,5.62,6.01,1.59,1.01,9.23,2.31,2.54,2.42,3.35
Au@Au ,-0.26,0.97,-3.18,1.41,0.92,7.01,6.01,1.59,1.01,9.23,2.31,2.54,2.54,3.35
Ni@Ni ,-1.52,0.87,-1.32,1.33,0.36,5.23,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Cu@Ni ,-1.6,0.88,-1.01,1.22,0.39,7.1,5.77,1.38,0.71,7.64,1.16,1.91,1.91,1.16
Pd@Ni ,-1.64,0.87,-1.13,1.22,0.06,5.79,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Ag@Ni ,-1.73,0.88,-0.77,1.05,-0.37,11.06,5.77,1.38,0.71,7.64,1.16,1.91,1.92,1.16
Ir@Ni ,-1.59,0.87,-1.21,1.36,-0.31,6.48,5.77,1.38,0.71,7.64,1.16,1.91,2.03,1.16
Pt@Ni ,-1.63,0.88,-1.24,1.34,-0.28,6.05,5.77,1.38,0.71,7.64,1.16,1.91,2.07,1.16
Au@Ni ,-1.8,0.88,-0.87,1.19,-0.8,9.02,5.77,1.38,0.71,7.64,1.16,1.91,2.17,1.16
Cu@Pd ,-0.84,0.93,-2.05,1.62,0.25,3.27,5.9,1.52,0.94,8.34,0.56,2.2,2.06,2.78
Pd@Pd ,-1.28,0.92,-1.67,1.36,0.23,3.93,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Ag@Pd ,-1.12,0.93,-1.31,1.23,0.02,6.87,5.9,1.52,0.94,8.34,0.56,2.2,2.08,2.78
Ir@Pd ,-1.18,0.91,-2.15,1.6,0.14,3.98,5.9,1.52,0.94,8.34,0.56,2.2,2.2,2.78
Pt@Pd ,-1.31,0.92,-1.82,1.48,0.05,4.32,5.9,1.52,0.94,8.34,0.56,2.2,2.24,2.78
Au@Pd ,-1.29,0.93,-1.35,1.35,-0.21,5.94,5.9,1.52,0.94,8.34,0.56,2.2,2.35,2.78
Cu@Pt ,-1.11,0.89,-2.33,2.05,0.14,2.75,6.74,1.53,1.04,9,2.13,2.28,2.1,3.9
Pd@Pt ,-1.66,0.88,-1.9,1.74,0.27,3.46,6.74,1.53,1.04,9,2.13,2.28,2.24,3.9
Ag@Pt ,-1.59,0.9,-1.38,1.52,0.14,5.03,6.74,1.53,1.04,9,2.13,2.28,2.12,3.9
Ir@Pt ,-1.49,0.88,-2.37,2.04,0.21,3.35,6.74,1.53,1.04,9,2.13,2.28,2.24,3.9
Pt@Pt ,-1.7,0.88,-2.03,1.87,0.17,3.65,6.74,1.53,1.04,9,2.13,2.28,2.28,3.9
Au@Pt ,-1.84,0.9,-1.46,1.64,-0.06,4.52,6.74,1.53,1.04,9,2.13,2.28,2.39,3.9
Cu-Sc@Cu ,-0.63,0.97,-2.72,0.99,2.79,16.86,5.3,1.41,0.67,7.73,1.24,1.9,1.64,1
Cu-Ti@Cu ,-0.69,0.97,-2.83,1.02,2.48,14.5,5.3,1.41,0.67,7.73,1.24,1.9,1.73,1
Cu-V@Cu ,-0.81,0.97,-2.74,1.07,2.12,11.81,5.3,1.41,0.67,7.73,1.24,1.9,1.77,1
Cu-Cr@Cu ,-1.17,0.97,-2.59,1.1,1.71,9.68,5.3,1.41,0.67,7.73,1.24,1.9,1.79,1
Cu-Co@Cu ,-0.76,0.97,-2.34,1.08,1.28,9.6,5.3,1.41,0.67,7.73,1.24,1.9,1.89,1
Cu-Ni@Cu ,-0.72,0.97,-2.14,1.07,1.25,9.36,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu-Cu@Cu ,-0.63,0.97,-2.26,1.06,1.11,10.84,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu-Y@Cu ,-0.73,0.97,-2.56,0.96,2.76,17.57,5.3,1.41,0.67,7.73,1.24,1.9,1.56,1
Cu-Zr@Cu ,-0.84,0.97,-2.74,1.02,2.58,15.81,5.3,1.41,0.67,7.73,1.24,1.9,1.62,1
Cu-Nb@Cu ,-1.05,0.97,-2.71,1.08,2.14,12.69,5.3,1.41,0.67,7.73,1.24,1.9,1.76,1
Cu-Mo@Cu ,-1.18,0.97,-2.52,1.11,1.58,9.93,5.3,1.41,0.67,7.73,1.24,1.9,2.01,1
Cu-Ru@Cu ,-0.87,0.97,-2.31,1.08,0.94,8.48,5.3,1.41,0.67,7.73,1.24,1.9,2.03,1
Cu-Rh@Cu ,-0.81,0.97,-2.14,1.07,0.85,8.58,5.3,1.41,0.67,7.73,1.24,1.9,2.06,1
Cu-Pd@Cu ,-0.75,0.97,-1.99,1.03,0.71,9.38,5.3,1.41,0.67,7.73,1.24,1.9,2.03,1
Cu-Ag@Cu ,-0.64,0.98,-2.13,0.98,0.68,14.09,5.3,1.41,0.67,7.73,1.24,1.9,1.91,1
Cu-La@Cu ,-0.69,0.97,-2.41,0.93,2.54,19.64,5.3,1.41,0.67,7.73,1.24,1.9,1.49,1
Cu-Ta@Cu ,-1.01,0.97,-2.83,1.14,2.06,12.45,5.3,1.41,0.67,7.73,1.24,1.9,1.71,1
Cu-W@Cu ,-1.18,0.97,-2.63,1.19,1.46,9.55,5.3,1.41,0.67,7.73,1.24,1.9,2.09,1
Cu-Re@Cu ,-1.12,0.97,-2.64,1.21,0.96,8.28,5.3,1.41,0.67,7.73,1.24,1.9,1.9,1
Cu-Os@Cu ,-0.9,0.97,-2.52,1.19,0.68,7.98,5.3,1.41,0.67,7.73,1.24,1.9,2.03,1
Cu-Ir@Cu ,-0.78,0.97,-2.31,1.16,0.47,8.28,5.3,1.41,0.67,7.73,1.24,1.9,2.03,1
Cu-Pt@Cu ,-0.79,0.97,-2.09,1.12,0.28,8.95,5.3,1.41,0.67,7.73,1.24,1.9,2.06,1
Cu-Au@Cu ,-0.67,0.98,-2.08,1.04,0.13,12.7,5.3,1.41,0.67,7.73,1.24,1.9,2.16,1
Ag-Sc@Ag ,-0.06,0.98,-4.49,1.17,3.84,22.63,5.01,1.59,0.89,7.58,1.3,1.93,1.65,2.26
Ag-Ti@Ag ,-0.15,0.98,-4.41,1.16,3.51,20.02,5.01,1.59,0.89,7.58,1.3,1.93,1.75,2.26
